chr,Symbol
chr1,1110058L19Rik
chr1,1500015O10Rik
chr1,1600010F14Rik
chr1,1600012P17Rik
chr1,1700007P06Rik
chr1,1700009P17Rik
chr1,1700015E13Rik
chr1,1700016C15Rik
chr1,1700019A02Rik
chr1,1700019D03Rik
chr1,1700019O17Rik
chr1,1700025G04Rik
chr1,1700034H15Rik
chr1,1700034P13Rik
chr1,1700037F24Rik
chr1,1700054K02Rik
chr1,1700056E22Rik
chr1,1700066M21Rik
chr1,1700084C01Rik
chr1,1700101I19Rik
chr1,2010300C02Rik
chr1,2210411M09Rik
chr1,2310007B03Rik
chr1,2310009B15Rik
chr1,2310016D23Rik
chr1,2310035C23Rik
chr1,2410088K16Rik
chr1,2610203C22Rik
chr1,2810025M15Rik
chr1,2810408I11Rik
chr1,2810442N19Rik
chr1,2810459M11Rik
chr1,3110009E18Rik
chr1,3110035E14Rik
chr1,3110045C21Rik
chr1,3110079O15Rik
chr1,4631405K08Rik
chr1,4732440D04Rik
chr1,4930439A04Rik
chr1,4930444P10Rik
chr1,4930453O03Rik
chr1,4930469G21Rik
chr1,4930486I03Rik
chr1,4930488B22Rik
chr1,4930500M09Rik
chr1,4930523C07Rik
chr1,4930527J03Rik
chr1,4930532G15Rik
chr1,4930556I23Rik
chr1,4930558J18Rik
chr1,4930558K02Rik
chr1,4930562F07Rik
chr1,4930570N18Rik
chr1,4930587A21Rik
chr1,4930594C11Rik
chr1,4930596I21Rik
chr1,4931408C20Rik
chr1,4931428L18Rik
chr1,4931440L10Rik
chr1,4933402D24Rik
chr1,4933406M09Rik
chr1,4933407L21Rik
chr1,4933415F23Rik
chr1,4933439K11Rik
chr1,5033417F24Rik
chr1,5330438I03Rik
chr1,5430435G22Rik
chr1,5730559C18Rik
chr1,5830403L16Rik
chr1,6030442K20Rik
chr1,6330403A02Rik
chr1,6720483E21Rik
chr1,7420461P10Rik
chr1,8430432A02Rik
chr1,9130024F11Rik
chr1,9130409I23Rik
chr1,9230116N13Rik
chr1,9330185C12Rik
chr1,9430016H08Rik
chr1,9530026F06Rik
chr1,9630028B13Rik
chr1,A130010J15Rik
chr1,A230020J21Rik
chr1,A230059L01Rik
chr1,A330023F24Rik
chr1,A430105J06Rik
chr1,A430106G13Rik
chr1,A430110L20Rik
chr1,A530032D15Rik
chr1,A530040E14Rik
chr1,A630001G21Rik
chr1,A630095N17Rik
chr1,A730013G03Rik
chr1,A830018L16Rik
chr1,AA986860
chr1,AC098736.2
chr1,AC121113.2
chr1,AC122223.2
chr1,AI597479
chr1,AI607873
chr1,ARHGAP30
chr1,Aamp
chr1,Abca12
chr1,Abcb6
chr1,Abi2
chr1,Abl2
chr1,Acadl
chr1,Acbd3
chr1,Acbd6
chr1,Ackr1
chr1,Ackr3
chr1,Acmsd
chr1,Acsl3
chr1,Actr1b
chr1,Actr3
chr1,Adam23
chr1,Adamts4
chr1,Adck3
chr1,Adcy10
chr1,Adhfe1
chr1,Adipor1
chr1,Adora1
chr1,Adss
chr1,Aff3
chr1,Agap1
chr1,Agfg1
chr1,Agxt
chr1,Ahctf1
chr1,Aida
chr1,Aim2
chr1,Akp3
chr1,Akp-ps1
chr1,Akr1cl
chr1,Akt3
chr1,Aldh9a1
chr1,Alpi
chr1,Alppl2
chr1,Als2
chr1,Als2cr11
chr1,Als2cr12
chr1,Alyref2
chr1,Amer3
chr1,Angel2
chr1,Angptl1
chr1,Ankar
chr1,Ankmy1
chr1,Ankrd23
chr1,Ankrd39
chr1,Ankrd44
chr1,Ankrd45
chr1,Ankzf1
chr1,Ano7
chr1,Aox1
chr1,Aox2
chr1,Aox3
chr1,Aox4
chr1,Ap1s3
chr1,Apcs
chr1,Apoa2
chr1,Apobec4
chr1,Apol7d
chr1,Aqp12
chr1,Arfgef1
chr1,Arhgap30
chr1,Arhgef4
chr1,Arid5a
chr1,Arl4c
chr1,Arl8a
chr1,Armc9
chr1,Arpc2
chr1,Arpc5
chr1,Asb1
chr1,Asb18
chr1,Ascl5
chr1,Asic4
chr1,Asnsd1
chr1,Aspm
chr1,Astn1
chr1,Atf3
chr1,Atf6
chr1,Atg4b
chr1,Atg9a
chr1,Atg16l1
chr1,Atic
chr1,Atp1a2
chr1,Atp1a4
chr1,Atp1b1
chr1,Atp2b4
chr1,Atp6v1g3
chr1,Atp6v1h
chr1,Avpr1b
chr1,Axdnd1
chr1,B3galt2
chr1,B3gat2
chr1,B3gnt7
chr1,B4galt3
chr1,B020018G12Rik
chr1,B230216N24Rik
chr1,B230369F24Rik
chr1,B930036N10Rik
chr1,BC003331
chr1,BC026585
chr1,BC034090
chr1,BC035947
chr1,BC055324
chr1,BC094916
chr1,Bag2
chr1,Bai3
chr1,Bard1
chr1,Batf3
chr1,Bcl2
chr1,Bcs1l
chr1,Bend6
chr1,Bivm
chr1,Blzf1
chr1,Bmpr2
chr1,Bok
chr1,Boll
chr1,Bpnt1
chr1,Brinp2
chr1,Brinp3
chr1,Brox
chr1,Btg2
chr1,Bzw1
chr1,C1ql2
chr1,C4bp
chr1,C4bp-ps1
chr1,C130026I21Rik
chr1,C130036L24Rik
chr1,C130074G19Rik
chr1,C230029F24Rik
chr1,C430014B12Rik
chr1,CAAA01152789.1
chr1,CSNK2A1
chr1,Cab39
chr1,Cacna1e
chr1,Cacna1s
chr1,Cacybp
chr1,Cadm3
chr1,Camk1g
chr1,Camsap2
chr1,Capn2
chr1,Capn8
chr1,Capn10
chr1,Carf
chr1,Casp8
chr1,Casq1
chr1,Catip
chr1,Ccdc19
chr1,Ccdc93
chr1,Ccdc108
chr1,Ccdc115
chr1,Ccdc121
chr1,Ccdc150
chr1,Ccdc181
chr1,Ccdc185
chr1,Ccl20
chr1,Ccnt2
chr1,Ccnyl1
chr1,Cd28
chr1,Cd34
chr1,Cd46
chr1,Cd48
chr1,Cd55
chr1,Cd84
chr1,Cd244
chr1,Cd247
chr1,Cdc42bpa
chr1,Cdc73
chr1,Cdh7
chr1,Cdh19
chr1,Cdh20
chr1,Cdk5r2
chr1,Cdk15
chr1,Cdk18
chr1,Celrr
chr1,Cenpf
chr1,Cenpl
chr1,Cep170
chr1,Cep350
chr1,Cfc1
chr1,Cfh
chr1,Cfhr1
chr1,Cfhr2
chr1,Cfhr3
chr1,Cflar
chr1,Chil1
chr1,Chit1
chr1,Chml
chr1,Chpf
chr1,Chrnd
chr1,Chrng
chr1,Chst10
chr1,Clasp1
chr1,Clk1
chr1,Cnga3
chr1,Cnih3
chr1,Cnih4
chr1,Cnnm3
chr1,Cnnm4
chr1,Cnot11
chr1,Cnppd1
chr1,Cnst
chr1,Cntn2
chr1,Cntnap5a
chr1,Cntnap5b
chr1,Coa5
chr1,Col3a1
chr1,Col4a3
chr1,Col4a4
chr1,Col5a2
chr1,Col6a3
chr1,Col9a1
chr1,Col19a1
chr1,Colgalt2
chr1,Copa
chr1,Cops5
chr1,Cops7b
chr1,Cops8
chr1,Coq10b
chr1,Cox5b
chr1,Cox20
chr1,Cpa6
chr1,Cps1
chr1,Cr1l
chr1,Cr2
chr1,Crb1
chr1,Creb1
chr1,Creg1
chr1,Creg2
chr1,Crisp4
chr1,Crispld1
chr1,Crp
chr1,Cryba2
chr1,Cryga
chr1,Crygb
chr1,Crygc
chr1,Crygd
chr1,Cryge
chr1,Crygf
chr1,Cspp1
chr1,Csrp1
chr1,Ctdsp1
chr1,Ctla4
chr1,Ctse
chr1,Cul3
chr1,Cxcr1
chr1,Cxcr2
chr1,Cxcr4
chr1,Cyb5r1
chr1,Cyp20a1
chr1,Cyp27a1
chr1,D1Ertd622e
chr1,D1Pas1
chr1,D2hgdh
chr1,D030040B21Rik
chr1,D130058E05Rik
chr1,D230017M19Rik
chr1,D430040D24Rik
chr1,D630008O14Rik
chr1,D630023F18Rik
chr1,D730003I15Rik
chr1,D930019O06Rik
chr1,Daf2
chr1,Dars
chr1,Dars2
chr1,Daw1
chr1,Dbi
chr1,Dcaf6
chr1,Dcaf8
chr1,Ddr2
chr1,Ddx18
chr1,Ddx59
chr1,Dedd
chr1,Defb18
chr1,Defb41
chr1,Defb44-ps
chr1,Degs1
chr1,Dennd1b
chr1,Des
chr1,Desi2
chr1,Dgkd
chr1,Dhx9
chr1,Diexf
chr1,Dis3l2
chr1,Disp1
chr1,Dnah7a
chr1,Dnah7b
chr1,Dnah7c
chr1,Dnah14
chr1,Dnajb2
chr1,Dnajb3
chr1,Dner
chr1,Dnm3
chr1,Dnm3os
chr1,Dnpep
chr1,Dock10
chr1,Dpp10
chr1,Dpt
chr1,Dsel
chr1,Dst
chr1,Dstyk
chr1,Dtl
chr1,Dtymk
chr1,Dusp10
chr1,Dusp12
chr1,Dusp23
chr1,Dusp27
chr1,Dusp28
chr1,Dyrk3
chr1,Dytn
chr1,E030010N08Rik
chr1,E330020D12Rik
chr1,Ecel1
chr1,Edem3
chr1,Eef1b2
chr1,Efcab2
chr1,Efhc1
chr1,Efhd1
chr1,Efhd1os
chr1,Eif2d
chr1,Eif4a-ps4
chr1,Eif4e2
chr1,Eif5b
chr1,Elf3
chr1,Elk4
chr1,En1
chr1,Enah
chr1,Epb4.1l5
chr1,Epha4
chr1,Ephx1
chr1,Eprs
chr1,Erbb4
chr1,Ercc5
chr1,Espnl
chr1,Esrrg
chr1,Etnk2
chr1,Exo1
chr1,Eya1
chr1,F5
chr1,F11r
chr1,F13b
chr1,Faim3
chr1,Fam20b
chr1,Fam71a
chr1,Fam72a
chr1,Fam78b
chr1,Fam117b
chr1,Fam124b
chr1,Fam126b
chr1,Fam129a
chr1,Fam132b
chr1,Fam134a
chr1,Fam135a
chr1,Fam150a
chr1,Fam163a
chr1,Fam168b
chr1,Fam174a
chr1,Fam178b
chr1,Farp2
chr1,Farsb
chr1,Fasl
chr1,Fastkd2
chr1,Fbxo28
chr1,Fbxo36
chr1,Fcamr
chr1,Fcer1a
chr1,Fcer1g
chr1,Fcgr2b
chr1,Fcgr3
chr1,Fcgr4
chr1,Fcrl6
chr1,Fcrla
chr1,Fcrlb
chr1,Fer1l5
chr1,Fev
chr1,Fh1
chr1,Fhl2
chr1,Fmn2
chr1,Fmo1
chr1,Fmo2
chr1,Fmo3
chr1,Fmo4
chr1,Fmo6
chr1,Fmo9
chr1,Fmod
chr1,Fn1
chr1,Fzd5
chr1,Fzd7
chr1,G0s2
chr1,G530012D18Rik
chr1,G730003C15Rik
chr1,Gal3st2
chr1,Gas5
chr1,Gbx2
chr1,Gdap1
chr1,Gigyf2
chr1,Gin1
chr1,Glb1l
chr1,Gli2
chr1,Glrp1
chr1,Glrx2
chr1,Gls
chr1,Glul
chr1,Gm101
chr1,Gm597
chr1,Gm973
chr1,Gm1305
chr1,Gm1992
chr1,Gm2000
chr1,Gm2061
chr1,Gm2343
chr1,Gm2383
chr1,Gm2389
chr1,Gm2619
chr1,Gm2635
chr1,Gm2666
chr1,Gm2709
chr1,Gm2962
chr1,Gm3531
chr1,Gm3555
chr1,Gm3608
chr1,Gm3617
chr1,Gm3646
chr1,Gm3809
chr1,Gm3851
chr1,Gm3852
chr1,Gm3940
chr1,Gm4204
chr1,Gm4258
chr1,Gm4776
chr1,Gm4788
chr1,Gm4793
chr1,Gm4845
chr1,Gm4846
chr1,Gm4847
chr1,Gm4852
chr1,Gm4953
chr1,Gm4954
chr1,Gm4955
chr1,Gm4956
chr1,Gm5069
chr1,Gm5250
chr1,Gm5255
chr1,Gm5257
chr1,Gm5258
chr1,Gm5262
chr1,Gm5263
chr1,Gm5265
chr1,Gm5269
chr1,Gm5415
chr1,Gm5523
chr1,Gm5526
chr1,Gm5528
chr1,Gm5529
chr1,Gm5530
chr1,Gm5531
chr1,Gm5532
chr1,Gm5533
chr1,Gm5561
chr1,Gm5697
chr1,Gm5698
chr1,Gm5699
chr1,Gm5705
chr1,Gm5706
chr1,Gm5828
chr1,Gm5830
chr1,Gm5832
chr1,Gm5834
chr1,Gm5973
chr1,Gm5974
chr1,Gm5976
chr1,Gm6058
chr1,Gm6085
chr1,Gm6086
chr1,Gm6104
chr1,Gm6136
chr1,Gm6152
chr1,Gm6153
chr1,Gm6161
chr1,Gm6177
chr1,Gm6189
chr1,Gm6195
chr1,Gm6216
chr1,Gm6264
chr1,Gm6286
chr1,Gm6345
chr1,Gm6374
chr1,Gm6397
chr1,Gm6428
chr1,Gm6430
chr1,Gm6462
chr1,Gm6489
chr1,Gm6644
chr1,Gm6822
chr1,Gm7094
chr1,Gm7110
chr1,Gm7241
chr1,Gm7278
chr1,Gm7281
chr1,Gm7493
chr1,Gm7568
chr1,Gm7582
chr1,Gm7592
chr1,Gm7609
chr1,Gm7658
chr1,Gm7784
chr1,Gm7785
chr1,Gm7846
chr1,Gm7910
chr1,Gm7952
chr1,Gm8080
chr1,Gm8084
chr1,Gm8089
chr1,Gm8210
chr1,Gm8214
chr1,Gm8217
chr1,Gm8251
chr1,Gm8292
chr1,Gm8321
chr1,Gm8338
chr1,Gm8357
chr1,Gm8420
chr1,Gm8532
chr1,Gm8550
chr1,Gm8618
chr1,Gm8805
chr1,Gm8809
chr1,Gm8812
chr1,Gm8818
chr1,Gm8840
chr1,Gm8941
chr1,Gm9458
chr1,Gm9499
chr1,Gm9530
chr1,Gm9747
chr1,Gm9765
chr1,Gm9826
chr1,Gm9898
chr1,Gm9915
chr1,Gm9929
chr1,Gm9947
chr1,Gm9982
chr1,Gm9991
chr1,Gm9994
chr1,Gm10031
chr1,Gm10068
chr1,Gm10075
chr1,Gm10138
chr1,Gm10171
chr1,Gm10176
chr1,Gm10188
chr1,Gm10222
chr1,Gm10307
chr1,Gm10516
chr1,Gm10517
chr1,Gm10518
chr1,Gm10521
chr1,Gm10530
chr1,Gm10535
chr1,Gm10543
chr1,Gm10552
chr1,Gm10553
chr1,Gm10558
chr1,Gm10561
chr1,Gm10566
chr1,Gm11575
chr1,Gm11576
chr1,Gm11577
chr1,Gm11578
chr1,Gm11579
chr1,Gm11581
chr1,Gm11582
chr1,Gm11587
chr1,Gm11588
chr1,Gm11590
chr1,Gm11591
chr1,Gm11599
chr1,Gm11600
chr1,Gm11605
chr1,Gm11606
chr1,Gm11607
chr1,Gm11608
chr1,Gm11609
chr1,Gm12748
chr1,Gm13748
chr1,Gm13749
chr1,Gm13750
chr1,Gm13751
chr1,Gm13754
chr1,Gm15178
chr1,Gm15179
chr1,Gm15180
chr1,Gm15181
chr1,Gm15182
chr1,Gm15183
chr1,Gm15368
chr1,Gm15369
chr1,Gm15370
chr1,Gm15371
chr1,Gm15372
chr1,Gm15373
chr1,Gm15374
chr1,Gm15375
chr1,Gm15376
chr1,Gm15388
chr1,Gm15389
chr1,Gm15390
chr1,Gm15391
chr1,Gm15392
chr1,Gm15393
chr1,Gm15394
chr1,Gm15423
chr1,Gm15427
chr1,Gm15428
chr1,Gm15429
chr1,Gm15433
chr1,Gm15443
chr1,Gm15445
chr1,Gm15452
chr1,Gm15453
chr1,Gm15454
chr1,Gm15455
chr1,Gm15457
chr1,Gm15464
chr1,Gm15479
chr1,Gm15480
chr1,Gm15486
chr1,Gm15508
chr1,Gm15509
chr1,Gm15583
chr1,Gm15584
chr1,Gm15603
chr1,Gm15604
chr1,Gm15618
chr1,Gm15659
chr1,Gm15668
chr1,Gm15669
